Region ID,Region Name,RP ID,Start Date,Station Count,Retail Average
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/25/2015",313,2.543984
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/06/2014",304,3.109691
8724,"ZIP - 8724",3,"07/12/2014",5,3.599000
8724,"ZIP - 8724",3,"08/25/2019",5,2.743000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/03/2019",314,2.897025
8724,"ZIP - 8724",3,"07/09/2019",6,3.014000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/12/2021",319,3.063796
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"02/05/2018",310,2.747645
8723,"ZIP - 8723",3,"12/17/2017",12,2.450667
8724,"ZIP - 8724",3,"01/01/2020",5,2.835000
8724,"ZIP - 8724",3,"12/13/2016",7,2.370429
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/16/2015",316,2.000835
8724,"ZIP - 8724",3,"12/17/2011",6,3.155667
8724,"ZIP - 8724",3,"07/30/2017",6,2.422333
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/29/2011",288,3.160076
8724,"ZIP - 8724",3,"03/30/2016",7,1.870429
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"09/09/2014",306,3.279261
8723,"ZIP - 8723",3,"07/20/2019",11,2.815364
8724,"ZIP - 8724",3,"11/15/2021",6,3.425667
8723,"ZIP - 8723",3,"07/23/2014",9,3.447889
8724,"ZIP - 8724",3,"08/06/2016",7,1.949000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/18/2016",325,1.920292
8723,"ZIP - 8723",3,"08/10/2017",11,2.406273
8724,"ZIP - 8724",3,"03/02/2019",6,2.655667
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/22/2011",297,3.468798
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/20/2020",288,2.130562
8723,"ZIP - 8723",3,"08/31/2013",8,3.529000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/24/2015",311,1.939643
8723,"ZIP - 8723",3,"06/04/2019",11,2.895364
8724,"ZIP - 8724",3,"09/22/2010",6,2.485667
8723,"ZIP - 8723",3,"08/28/2018",12,2.874000
8724,"ZIP - 8724",3,"07/30/2015",5,2.573000
